title,authors,publication_year,doi,abstract,cited_by_count,source_name,openalex_id,landing_page_url,keyword,retrieved_at,relevance_score,impact_score,recency_score,completeness_score,preliminary_score
"Full spectrum fitting with photometry in <scp>ppxf</scp>: stellar population versus dynamical masses, non-parametric star formation history and metallicity for 3200 LEGA-C galaxies at redshift <i>z</i> ≈ 0.8",Michele Cappellari,2023,10.1093/mnras/stad2597,"ABSTRACT I introduce some improvements to the ppxf method, which measures the stellar and gas kinematics, star formation history (SFH) and chemical composition of galaxies. I describe the new optimization algorithm that ppxf uses and the changes I made to fit both spectra and photometry simultaneously. I apply the updated ppxf method to a sample of 3200 galaxies at redshift 0.6 &amp;lt; z &amp;lt; 1 (median z = 0.76, stellar mass $M_\ast \gtrsim 3\times 10^{10}$ M⊙), using spectroscopy from the LEGA-C survey (DR3) and 28-bands photometry from two different sources. I compare the masses from new JAM dynamical models with the ppxf stellar population M* and show the latter are more reliable than previous estimates. I use three different stellar population synthesis (SPS) models in ppxf and both photometric sources. I confirm the main trend of the galaxies’ global ages and metallicity [M/H] with stellar velocity dispersion σ* (or central density), but I also find that [M/H] depends on age at fixed σ*. The SFHs reveal a sharp transition from star formation to quenching for galaxies with $\lg (\sigma _\ast /\mathrm{km}\, s^{-1})\gtrsim 2.3$ ($\sigma _\ast \gtrsim 200$$\mathrm{km}\, s^{-1}$), or average mass density within 1 kpc $\lg (\Sigma _1^{\rm JAM}/\mathrm{\mathrm{M}_{\odot }kpc^{-2}})\gtrsim 9.9$ ($\Sigma _1^{\rm JAM}\gtrsim 7.9\times 10^9\, \mathrm{\mathrm{M}_{\odot }\ kpc^{-2}}$), or with $[M/H]\gtrsim -0.1$, or with Sersic index $\lg n_{\rm Ser}\gtrsim 0.5$ ($n_{\rm Ser}\gtrsim 3.2$). However, the transition is smoother as a function of M*. These results are consistent for two SPS models and both photometric sources, but they differ significantly from the third SPS model, which demonstrates the importance of comparing model assumptions.",252,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W4320341265,https://doi.org/10.1093/mnras/stad2597,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.325,0.6614,0.7,1.0,0.5684
TESS Stellar Rotation up to 80 Days in the Southern Continuous Viewing Zone,Zachary R. Claytor; Jennifer L. van Saders; Lyra Cao; Marc H. Pinsonneault; Johanna Teske; Rachael L. Beaton,2024,10.3847/1538-4357/ad159a,"Abstract The Transiting Exoplanet Survey Satellite (TESS) mission delivers time-series photometry for millions of stars across the sky, offering a probe into stellar astrophysics, including rotation, on a population scale. However, light-curve systematics related to the satellite’s 13.7 day orbit have prevented stellar rotation searches for periods longer than 13 days, putting the majority of stars beyond reach. Machine-learning methods have the ability to identify systematics and recover robust signals, enabling us to recover rotation periods up to 35 days for GK dwarfs and 80 days for M dwarfs. We present a catalog of 7245 rotation periods for cool dwarfs in the Southern Continuous Viewing Zone, estimated using convolutional neural networks. We find evidence for structure in the period distribution consistent with prior Kepler and K2 results, including a gap in 10–20 day cool-star periods thought to arise from a change in stellar spin-down or activity. Using a combination of spectroscopic and gyrochronologic constraints, we fit stellar evolution models to estimate masses and ages for stars with rotation periods. We find strong correlations between the detectability of rotation in TESS and the effective temperature, age, and metallicity of the stars. Finally, we investigate the relationships between rotation and newly obtained spot filling fractions estimated from Apache Point Observatory Galactic Evolution Experiment spectra. Field starspot filling fractions are elevated in the same temperature and period regime where open clusters’ magnetic braking stalls, lending support to an internal shear mechanism that can produce both phenomena.",26,The Astrophysical Journal,https://openalex.org/W4391565937,https://doi.org/10.3847/1538-4357/ad159a,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.475,0.3939,0.8,1.0,0.5682
Machine learning for observational cosmology,Kana Moriwaki; Takahiro Nishimichi; Naoki Yoshida,2023,10.1088/1361-6633/acd2ea,"An array of large observational programs using ground-based and space-borne telescopes is planned in the next decade. The forthcoming wide-field sky surveys are expected to deliver a sheer volume of data exceeding an exabyte. Processing the large amount of multiplex astronomical data is technically challenging, and fully automated technologies based on machine learning (ML) and artificial intelligence are urgently needed. Maximizing scientific returns from the big data requires community-wide efforts. We summarize recent progress in ML applications in observational cosmology. We also address crucial issues in high-performance computing that are needed for the data processing and statistical analysis.",34,Reports on Progress in Physics,https://openalex.org/W4372215216,https://doi.org/10.1088/1361-6633/acd2ea,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.4249,0.7,1.0,0.5675
A MACHINE-LEARNING METHOD TO INFER FUNDAMENTAL STELLAR PARAMETERS FROM PHOTOMETRIC LIGHT CURVES,A. A. Miller; J. S. Bloom; J. W. Richards; Y. S. Lee; D. L. Starr; N. R. Butler; S. Tokarz; N. Smith; J. A. Eisner,2015,10.1088/0004-637x/798/2/122,"A fundamental challenge for wide-field imaging surveys is obtaining follow-up spectroscopic observations: there are &gt;10^9 photometrically cataloged sources, yet modern spectroscopic surveys are limited to ~few× 10^6 targets. As we approach the Large Synoptic Survey Telescope era, new algorithmic solutions are required to cope with the data deluge. Here we report the development of a machine-learning framework capable of inferring fundamental stellar parameters (T_(eff), log g, and [Fe/H]) using photometric-brightness variations and color alone. A training set is constructed from a systematic spectroscopic survey of variables with Hectospec/Multi-Mirror Telescope. In sum, the training set includes ~9000 spectra, for which stellar parameters are measured using the SEGUE Stellar Parameters Pipeline (SSPP). We employed the random forest algorithm to perform a non-parametric regression that predicts T_(eff), log g, and [Fe/H] from photometric time-domain observations. Our final optimized model produces a cross-validated rms error (RMSE) of 165 K, 0.39 dex, and 0.33 dex for T_(eff), log g, and [Fe/H], respectively. Examining the subset of sources for which the SSPP measurements are most reliable, the RMSE reduces to 125 K, 0.37 dex, and 0.27 dex, respectively, comparable to what is achievable via low-resolution spectroscopy. For variable stars this represents a ≈12%-20% improvement in RMSE relative to models trained with single-epoch photometric colors. As an application of our method, we estimate stellar parameters for ~54,000 known variables. We argue that this method may convert photometric time-domain surveys into pseudo-spectrographic engines, enabling the construction of extremely detailed maps of the Milky Way, its structure, and history.",41,The Astrophysical Journal,https://openalex.org/W2127375519,https://doi.org/10.1088/0004-637x/798/2/122,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.4467,0.0,1.0,0.564
Modelling the galaxy–halo connection with machine learning,Ana María Delgado; Digvijay Wadekar; Boryana Hadzhiyska; Sownak Bose; Lars Hernquist; Shirley Ho,2022,10.1093/mnras/stac1951,"ABSTRACT To extract information from the clustering of galaxies on non-linear scales, we need to model the connection between galaxies and haloes accurately and in a flexible manner. Standard halo occupation distribution (HOD) models make the assumption that the galaxy occupation in a halo is a function of only its mass, however, in reality; the occupation can depend on various other parameters including halo concentration, assembly history, environment, and spin. Using the IllustrisTNG hydrodynamical simulation as our target, we show that machine learning tools can be used to capture this high-dimensional dependence and provide more accurate galaxy occupation models. Specifically, we use a random forest regressor to identify which secondary halo parameters best model the galaxy–halo connection and symbolic regression to augment the standard HOD model with simple equations capturing the dependence on those parameters, namely the local environmental overdensity and shear, at the location of a halo. This not only provides insights into the galaxy formation relationship but also, more importantly, improves the clustering statistics of the modelled galaxies significantly. Our approach demonstrates that machine learning tools can help us better understand and model the galaxy–halo connection, and are therefore useful for galaxy formation and cosmology studies from upcoming galaxy surveys.",47,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W3209534297,https://doi.org/10.1093/mnras/stac1951,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.4627,0.6,1.0,0.5588
Automated Stellar Spectra Classification with Ensemble Convolutional Neural Network,Zhuang Zhao; Jiyu Wei; Bin Jiang,2022,10.1155/2022/4489359,"Large sky survey telescopes have produced a tremendous amount of astronomical data, including spectra. Machine learning methods must be employed to automatically process the spectral data obtained by these telescopes. Classification of stellar spectra by applying deep learning is an important research direction for the automatic classification of high-dimensional celestial spectra. In this paper, a robust ensemble convolutional neural network (ECNN) was designed and applied to improve the classification accuracy of massive stellar spectra from the Sloan digital sky survey. We designed six classifiers which consist six different convolutional neural networks (CNN), respectively, to recognize the spectra in DR16. Then, according the cross-entropy testing error of the spectra at different signal-to-noise ratios, we integrate the results of different classifiers in an ensemble learning way to improve the effect of classification. The experimental result proved that our one-dimensional ECNN strategy could achieve 95.0% accuracy in the classification task of the stellar spectra, a level of accuracy that exceeds that of the classical principal component analysis and support vector machine model.",8,Advances in Astronomy,https://openalex.org/W4205885782,https://doi.org/10.1155/2022/4489359,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.2626,0.6,1.0,0.5588
ODUSSEAS: a machine learning tool to derive effective temperature and metallicity for M dwarf stars,A. Antoniadis-Karnavas; S. G. Sousa; E. Delgado-Mena; N. C. Santos; G. D. C. Teixeira; V. Neves,2020,10.1051/0004-6361/201937194/pdf,"Aims. The derivation of spectroscopic parameters for M dwarf stars is very important in the fields of stellar and exoplanet characterization. The goal of this work is the creation of an automatic computational tool able to quickly and reliably derive the Teff and [Fe/H] of M dwarfs using optical spectra obtained by different spectrographs with different resolutions. Methods. ODUSSEAS (Observing Dwarfs Using Stellar Spectroscopic Energy-Absorption Shapes) is based on the measurement of the pseudo equivalent widths for more than 4000 stellar absorption lines and on the use of the machine learning Python package “scikit-learn” for predicting the stellar parameters. Results. We show that our tool is able to derive parameters accurately and with high precision, having precision errors of ~30 K for Teff and ~0.04 dex for [Fe/H]. The results are consistent for spectra with resolutions of between 48 000 and 115 000 and a signal-to-noise ratio above 20.",40,Springer Link (Chiba Institute of Technology),https://openalex.org/W3101015041,,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.4439,0.4,0.8333,0.5565
The miniJPAS survey: star-galaxy classification using machine learning,P. O. Baqui; Valerio Marra; Luciano Casarini; Raúl E. Angulo; L. A. Díaz-García; C. Hernández–Monteagudo; P. A. A. Lopes; C. López-Sanjuán; D. Muniesa; Vinicius M. Placco; Miguel Quartin; C. Queiroz; David Sobral; E. Solano; Elmo Tempel; J. Varela; J. M. Vı́lchez; L. Raul Abramo; J. S. Alcaniz; N. Benı́tez; Silvia Bonoli; S. Carneiro; A. J. Cenarro; D. Cristòbal-Hornillos; A. L. de Amorim; C. Mendes de Oliveira; Renato A. Dupke; A. Ederoclite; R. M. González Delgado; A. Marín-Franch; M. Moles; H. Vázquez Ramió; L. Sodré; K. Taylor,2020,10.1051/0004-6361/202038986,"Context. Future astrophysical surveys such as J-PAS will produce very large datasets, the so-called “big data”, which will require the deployment of accurate and efficient machine-learning (ML) methods. In this work, we analyze the miniJPAS survey, which observed about ∼1 deg 2 of the AEGIS field with 56 narrow-band filters and 4 u g r i broad-band filters. The miniJPAS primary catalog contains approximately 64 000 objects in the r detection band (mag A B ≲ 24), with forced-photometry in all other filters. Aims. We discuss the classification of miniJPAS sources into extended (galaxies) and point-like (e.g., stars) objects, which is a step required for the subsequent scientific analyses. We aim at developing an ML classifier that is complementary to traditional tools that are based on explicit modeling. In particular, our goal is to release a value-added catalog with our best classification. Methods. In order to train and test our classifiers, we cross-matched the miniJPAS dataset with SDSS and HSC-SSP data, whose classification is trustworthy within the intervals 15 ≤ r ≤ 20 and 18.5 ≤ r ≤ 23.5, respectively. We trained and tested six different ML algorithms on the two cross-matched catalogs: K-nearest neighbors, decision trees, random forest (RF), artificial neural networks, extremely randomized trees (ERT), and an ensemble classifier. This last is a hybrid algorithm that combines artificial neural networks and RF with the J-PAS stellar and galactic loci classifier. As input for the ML algorithms we used the magnitudes from the 60 filters together with their errors, with and without the morphological parameters. We also used the mean point spread function in the r detection band for each pointing. Results. We find that the RF and ERT algorithms perform best in all scenarios. When the full magnitude range of 15 ≤ r ≤ 23.5 is analyzed, we find an area under the curve AUC = 0.957 with RF when photometric information alone is used, and AUC = 0.986 with ERT when photometric and morphological information is used together. When morphological parameters are used, the full width at half maximum is the most important feature. When photometric information is used alone, we observe that broad bands are not necessarily more important than narrow bands, and errors (the width of the distribution) are as important as the measurements (central value of the distribution). In other words, it is apparently important to fully characterize the measurement. Conclusions. ML algorithms can compete with traditional star and galaxy classifiers; they outperform the latter at fainter magnitudes ( r ≳ 21). We use our best classifiers, with and without morphology, in order to produce a value-added catalog.",55,Astronomy and Astrophysics,https://openalex.org/W3043645409,https://doi.org/10.1051/0004-6361/202038986,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.575,0.4811,0.4,1.0,0.5543
Galaxy morphological classification in deep-wide surveys via unsupervised machine learning,Garreth Martin; Sugata Kaviraj; Anne M. Hocking; S. Read; J. E. Geach,2019,10.1093/mnras/stz3006,"ABSTRACT Galaxy morphology is a fundamental quantity, which is essential not only for the full spectrum of galaxy-evolution studies, but also for a plethora of science in observational cosmology (e.g. as a prior for photometric-redshift measurements and as contextual data for transient light-curve classifications). While a rich literature exists on morphological-classification techniques, the unprecedented data volumes, coupled, in some cases, with the short cadences of forthcoming ‘Big-Data’ surveys (e.g. from the LSST), present novel challenges for this field. Large data volumes make such data sets intractable for visual inspection (even via massively distributed platforms like Galaxy Zoo), while short cadences make it difficult to employ techniques like supervised machine learning, since it may be impractical to repeatedly produce training sets on short time-scales. Unsupervised machine learning, which does not require training sets, is ideally suited to the morphological analysis of new and forthcoming surveys. Here, we employ an algorithm that performs clustering of graph representations, in order to group image patches with similar visual properties and objects constructed from those patches, like galaxies. We implement the algorithm on the Hyper-Suprime-Cam Subaru-Strategic-Program Ultra-Deep survey, to autonomously reduce the galaxy population to a small number (160) of ‘morphological clusters’, populated by galaxies with similar morphologies, which are then benchmarked using visual inspection. The morphological classifications (which we release publicly) exhibit a high level of purity, and reproduce known trends in key galaxy properties as a function of morphological type at z &amp;lt; 1 (e.g. stellar-mass functions, rest-frame colours, and the position of galaxies on the star-formation main sequence). Our study demonstrates the power of unsupervised machine learning in performing accurate morphological analysis, which will become indispensable in this new era of deep-wide surveys.",84,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W2977076818,https://doi.org/10.1093/mnras/stz3006,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.575,0.531,0.3,1.0,0.5493
Machines learn to infer stellar parameters just by looking at a large number of spectra,Nima Sedaghat; M. Romaniello; Jonathan Carrick; F.‐X. Pineau,2020,10.1093/mnras/staa3540,"ABSTRACT Machine learning has been widely applied to clearly defined problems of astronomy and astrophysics. However, deep learning and its conceptual differences to classical machine learning have been largely overlooked in these fields. The broad hypothesis behind our work is that letting the abundant real astrophysical data speak for itself, with minimal supervision and no labels, can reveal interesting patterns that may facilitate discovery of novel physical relationships. Here, as the first step, we seek to interpret the representations a deep convolutional neural network chooses to learn, and find correlations in them with current physical understanding. We train an encoder–decoder architecture on the self-supervised auxiliary task of reconstruction to allow it to learn general representations without bias towards any specific task. By exerting weak disentanglement at the information bottleneck of the network, we implicitly enforce interpretability in the learned features. We develop two independent statistical and information-theoretical methods for finding the number of learned informative features, as well as measuring their true correlation with astrophysical validation labels. As a case study, we apply this method to a data set of ∼270 000 stellar spectra, each of which comprising ∼300 000 dimensions. We find that the network clearly assigns specific nodes to estimate (notions of) parameters such as radial velocity and effective temperature without being asked to do so, all in a completely physics-agnostic process. This supports the first part of our hypothesis. Moreover, we find with high confidence that there are ∼4 more independently informative dimensions that do not show a direct correlation with our validation parameters, presenting potential room for future studies.",18,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W3088227899,https://doi.org/10.1093/mnras/staa3540,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3519,0.4,1.0,0.5456
A survey of machine learning for big data processing,Junfei Qiu; Qihui Wu; Guoru Ding; Yuhua Xu; Shuo Feng,2016,10.1186/s13634-016-0355-x,"There is no doubt that big data are now rapidly expanding in all science and engineering domains. While the potential of these massive data is undoubtedly significant, fully making sense of them requires new ways of thinking and novel learning techniques to address the various challenges. In this paper, we present a literature survey of the latest advances in researches on machine learning for big data processing. First, we review the machine learning techniques and highlight some promising learning methods in recent studies, such as representation learning, deep learning, distributed and parallel learning, transfer learning, active learning, and kernel-based learning. Next, we focus on the analysis and discussions about the challenges and possible solutions of machine learning for big data. Following that, we investigate the close connections of machine learning with signal processing techniques for big data processing. Finally, we outline several open issues and research trends.",891,EURASIP Journal on Advances in Signal Processing,https://openalex.org/W2406349003,https://doi.org/10.1186/s13634-016-0355-x,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.812,0.0,1.0,0.5436
Outshining by Recent Star Formation Prevents the Accurate Measurement of High-z Galaxy Stellar Masses,Desika Narayanan; Sidney Lower; Paul Torrey; Gabriel Brammer; Weiguang Cui; Romeel Davé; Kartheik G. Iyer; Qi Li; Christopher C. Lovell; Laura V. Sales; Daniel P. Stark; Federico Marinacci; Mark Vogelsberger,2024,10.3847/1538-4357/ad0966,"Abstract We demonstrate that the inference of galaxy stellar masses via spectral energy distribution (SED) fitting techniques for galaxies formed in the first billion years after the Big Bang carries fundamental uncertainties owing to the loss of star formation history (SFH) information from the very first episodes of star formation in the integrated spectra of galaxies. While this early star formation can contribute substantially to the total stellar mass of high-redshift systems, ongoing star formation at the time of detection outshines the residual light from earlier bursts, hampering the determination of accurate stellar masses. As a result, order-of-magnitude uncertainties in stellar masses can be expected. We demonstrate this potential problem via direct numerical simulation of galaxy formation in a cosmological context. In detail, we carry out two cosmological simulations with significantly different stellar feedback models, which span a significant range in SFH burstiness. We compute the mock SEDs for these model galaxies at z = 7 via calculations of 3D dust radiative transfer, and then backward fit these SEDs with prospector SED fitting software. The uncertainties in derived stellar masses that we find for z &gt; 7 galaxies motivate the development of new techniques and/or priors for SFH to model star formation in the early Universe.",71,The Astrophysical Journal,https://openalex.org/W4390907879,https://doi.org/10.3847/1538-4357/ad0966,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.325,0.5112,0.8,1.0,0.5433
"Prediction of stellar atmospheric parameters from spectra, spectral indices and spectral lines using machine learning",Olac Fuentes; R. K. Gulati,2001,,"In this paper we present an experimental study of the performance of a simple machine learning algorithm applied to the prediction of the stellar atmospheric parameters T eff , log g and [F e/H ] using as input three di#erent sets of spectral features. We compare the performance of the distance-weighted 3-nearest-neighbor algorithm using as input spectra, a set of spectral indices taken from the same wavelength region, and absorption lines obtained by removing from the spectra the contribution of the continuum, which is computed by means of a linear time convex hull algorithm. Our experiments show that the predictions obtained using spectral indices and spectral lines have very similar accuracy levels, and that both are superior to those obtained using spectra.",7,,https://openalex.org/W2098458655,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.10.4071,machine learning stellar spectra,2026-07-22T10:19:44+00:00,1.0,0.2485,0.0,0.6667,0.5412
A Machine Learning Method to Infer Fundamental Stellar Parameters from Photometric Light Curves,Adam A. Miller; J. S. Bloom; Joseph W. Richards; Young Sun Lee; D. Starr; N. Butler; S. Tokarz; Nathan Smith; J. A. Eisner,2014,,"A fundamental challenge for wide-field imaging surveys is obtaining follow-up spectroscopic observations: there are &gt; 10^9 photometrically cataloged sources, yet modern spectroscopic surveys are limited to ~few x 10^6 targets. As we approach the Large Synoptic Survey Telescope (LSST) era, new algorithmic solutions are required to cope with the data deluge. Here we report the development of a machine-learning framework capable of inferring fundamental stellar parameters (T_(eff), log g, and [Fe/H]) using photometric-brightness variations and color alone. A training set is constructed from a systematic spectroscopic survey of variables with Hectospec/MMT. In sum, the training set includes ~9000 spectra, for which stellar parameters are measured using the SEGUE Stellar Parameters&#13;\nPipeline (SSPP). We employed the random forest algorithm to perform a non-parametric regression that predicts T_(eff), log g, and [Fe/H] from photometric time-domain observations. Our final, optimized model produces a cross-validated root-mean-square error (RMSE) of 165 K, 0.39 dex, and 0.33 dex for T_(eff), log g, and [Fe/H], respectively. Examining the subset of sources for which the SSPP&#13;\nmeasurements are most reliable, the RMSE reduces to 125 K, 0.37 dex, and 0.27 dex, respectively, comparable to what is achievable via low-resolution spectroscopy. For variable stars this represents a ≈12-20% improvement in RMSE relative to models trained with single-epoch photometric colors. As an application of our method, we estimate stellar parameters for ~54,000 known variables. We argue&#13;\nthat this method may convert photometric time-domain surveys into pseudo-spectrographic engines, enabling the construction of extremely detailed maps of the Milky Way, its structure, and history.",33,CaltechAUTHORS (California Institute of Technology),https://openalex.org/W3101896622,https://authors.library.caltech.edu/51836/,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.4215,0.0,0.8333,0.5398
Machine Learning for the Zwicky Transient Facility,A. Mahabal; Umaa Rebbapragada; Richard Walters; Frank J. Masci; N. Blagorodnova; Jan van Roestel; Quanzhi Ye; Rahul Biswas; Kevin B. Burdge; Chan-Kao Chang; Dmitry A. Duev; V. Z. Golkhou; Adam A. Miller; J. Nordin; Charlotte Ward; S. M. Adams; Eric C. Bellm; Doug Branton; Brian Bue; Chris Cannella; Andrew J. Connolly; Richard Dekany; U. Feindt; T. Hung; L. Fortson; Sara Frederick; C. Fremling; Suvi Gezari; M. J. Graham; Steven L. Groom; M. M. Kasliwal; S. R. Kulkarni; Thomas Kupfer; Hsing Wen Lin; Chris Lintott; R. Lunnan; John K. Parejko; Thomas A. Prince; Reed Riddle; B. Rusholme; Nicholas Saunders; Nima Sedaghat; D. L. Shupe; Leo P. Singer; Maayane T. Soumagnac; Paula Szkody; Y. Tachibana; Kushal Tirumala; Sjoert van Velzen; Darryl Wright,2019,10.1088/1538-3873/aaf3fa,"The Zwicky Transient Facility is a large optical survey in multiple filters producing hundreds of thousands of transient alerts per night. We describe here various machine learning (ML) implementations and plans to make the maximal use of the large data set by taking advantage of the temporal nature of the data, and further combining it with other data sets. We start with the initial steps of separating bogus candidates from real ones, separating stars and galaxies, and go on to the classification of real objects into various classes. Besides the usual methods (e.g., based on features extracted from light curves) we also describe early plans for alternate methods including the use of domain adaptation, and deep learning. In a similar fashion we describe efforts to detect fast moving asteroids.",136,Publications of the Astronomical Society of the Pacific,https://openalex.org/W2915006163,https://doi.org/10.1088/1538-3873/aaf3fa,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.5881,0.3,1.0,0.5364
An active instance-based machine learning method for stellar population studies,T. Solorio; O. Fuentes; R. Terlevich; E. Terlevich,2005,10.1111/j.1365-2966.2005.09456.x,"We have developed a method for fast and accurate stellar population parameters determination in order to apply it to high resolution galaxy spectra. The method is based on an optimization technique that combines active learning with an instance-based machine learning algorithm. We tested the method with the retrieval of the star-formation history and dust content in ""synthetic"" galaxies with a wide range of S/N ratios. The ""synthetic"" galaxies where constructed using two different grids of high resolution theoretical population synthesis models. The results of our controlled experiment shows that our method can estimate with good speed and accuracy the parameters of the stellar populations that make up the galaxy even for very low S/N input. For a spectrum with S/N=5 the typical average deviation between the input and fitted spectrum is less than 10**{-5}. Additional improvements are achieved using prior knowledge.",18,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W2164255929,https://doi.org/10.1111/j.1365-2966.2005.09456.x,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.3519,0.0,1.0,0.5356
"Machine learning in electron microscopy for advanced nanocharacterization: current developments, available tools and future outlook",Marc Botifoll; Ivan Pinto‐Huguet; Jordi Arbiol,2022,10.1039/d2nh00377e,", high-energy physics, astronomy, Earth sciences, and even robotics, videogames, or marketing and finances), in order to narrow down the incoming future of electron microscopy, its challenges and outlook.",124,Nanoscale Horizons,https://openalex.org/W4306248068,https://doi.org/10.1039/d2nh00377e,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.35,0.5771,0.6,1.0,0.5331
Stellar classification from single-band imaging using machine learning,T. Kuntzer; M. Tewes; F. Courbin,2016,10.1051/0004-6361/201628660,"Information on the spectral types of stars is of great interest in view of the exploitation of space-based imaging surveys. In this article, we investigate the classification of stars into spectral types using only the shape of their diffraction pattern in a single broad-band image. We propose a supervised machine learning approach to this endeavour, based on principal component analysis (PCA) for dimensionality reduction, followed by artificial neural networks (ANNs) estimating the spectral type. Our analysis is performed with image simulations mimicking the Hubble Space Telescope (HST) Advanced Camera for Surveys (ACS) in the F606W and F814W bands, as well as the Euclid VIS imager. We first demonstrate this classification in a simple context, assuming perfect knowledge of the point spread function (PSF) model and the possibility of accurately generating mock training data for the machine learning. We then analyse its performance in a fully data-driven situation, in which the training would be performed with a limited subset of bright stars from a survey, and an unknown PSF with spatial variations across the detector. We use simulations of main-sequence stars with flat distributions in spectral type and in signal-to-noise ratio, and classify these stars into 13 spectral subclasses, from O5 to M5. Under these conditions, the algorithm achieves a high success rate both for Euclid and HST images, with typical errors of half a spectral class. Although more detailed simulations would be needed to assess the performance of the algorithm on a specific survey, this shows that stellar classification from single-band images is well possible.",37,Astronomy and Astrophysics,https://openalex.org/W2375984290,https://doi.org/10.1051/0004-6361/201628660,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.75,0.4348,0.0,1.0,0.5304
Machine-learning Classifiers for Intermediate Redshift Emission-line Galaxies,Kai Zhang; David J. Schlegel; Brett H. Andrews; Johan Comparat; Christoph Schäfer; Jose Antonio Vazquez Mata; Jean-Paul Kneib; Renbin Yan,2019,10.3847/1538-4357/ab397e,"Abstract Classification of intermediate redshift ( z = 0.3–0.8) emission line galaxies as star-forming galaxies, composite galaxies, active galactic nuclei (AGNs), or low-ionization nuclear emission regions (LINERs) using optical spectra alone was impossible because the lines used for standard optical diagnostic diagrams: [N ii ], H α , and [S ii ] are redshifted out of the observed wavelength range. In this work, we address this problem using four supervised machine-learning classification algorithms: k -nearest neighbors (KNN), support vector classifier (SVC), random forest (RF), and a multilayer perceptron (MLP) neural network. For input features, we use properties that can be measured from optical galaxy spectra out to z &lt; 0.8—[O iii ]/H β , [O ii ]/H β , [O iii ] line width, and stellar velocity dispersion—and four colors ( u − g , g − r , r − i , and i − z ) corrected to z = 0.1. The labels for the low redshift emission line galaxy training set are determined using standard optical diagnostic diagrams. RF has the best area under curve score for classifying all four galaxy types, meaning the highest distinguishing power. Both the AUC scores and accuracies of the other algorithms are ordered as MLP &gt; SVC &gt; KNN. The classification accuracies with all eight features (and the four spectroscopically determined features only) are 93.4% (92.3%) for star-forming galaxies, 69.4% (63.7%) for composite galaxies, 71.8% (67.3%) for AGNs, and 65.7% (60.8%) for LINERs. The stacked spectrum of galaxies of the same type as determined by optical diagnostic diagrams at low redshift and RF at intermediate redshift are broadly consistent. Our publicly available code ( https://github.com/zkdtc/MLC_ELGs ) and trained models will be instrumental for classifying emission line galaxies in upcoming wide-field spectroscopic surveys.",19,The Astrophysical Journal,https://openalex.org/W2969767295,https://doi.org/10.3847/1538-4357/ab397e,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3581,0.3,1.0,0.5274
A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease,Khandaker Mohammad Mohi Uddin; Mir Jafikul Alam; Jannat-E-Anawar; Md. Ashraf Uddin; Sunil Aryal,2023,10.1007/s44174-023-00078-9,,91,Biomedical Materials & Devices,https://openalex.org/W4363678967,https://doi.org/10.1007/s44174-023-00078-9,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.35,0.5405,0.7,0.8333,0.5255
